"Timestamp","In which State/UT do you currently live?","What is your age?","Please select your gender.","How would you describe your occupation?","How many earning members are there in your immediate family?","What is your annual household income (in rupees ₹)?","How has your overall household income changed during COVID-19?","Do you or your family have any pending loan(s)?","Did you or anyone in your family get infected by COVID-19?","Did you get vaccinated for COVID-19?","Do you have any health issue(s)? (If more than one, then please select your major health issue)","How often do you exercise or meditate?","How has COVID-19 impacted your life and future plans/goals?","During lockdown, how often do you interact (on calls/chats) with your relatives & friends?","How has your appetite changed during the lockdown?","How have your sleeping hours been affected due to the lockdown?","How satisfied are you with your state government's measures to handle COVID-19?","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt scared without any good reason]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I was close to a panic attack]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced dryness of my mouth]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced breathing difficulty (without any physical exertion)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Experienced trembling (e.g. in the hands)]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Worried about situations in which I might make a fool of myself]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [Increase in heart rate without any physical exertion]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I didn't experience any positive feeling at all]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to take the initiative to do things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I had nothing to look forward to]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt down-hearted and blue]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was unable to feel enthusiastic about anything]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt I wasn’t worth much as a person]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that life was meaningless]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it hard to take things easily]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I tended to over-react to situations]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt that I was nervous ]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found myself getting agitated]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I found it difficult to relax]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I was generally intolerant of things]","Please read each statement and select number 0, 1, 2 or 3 which indicates how much the statement applied to you over the past 3-4 weeks. (0 being the least; 3 being the most) [I felt unusually sensitive ]","During the past one month, which of the following have you experienced the most?"
"2021/05/23 2:59:11 AM GMT+5:30","Delhi","25 - 45 years old","Female","Homemaker","2","10 - 20 lakhs","No change","Yes","Yes","No","No major health problem","Ocassionally","Major Impact","Atleast 3 days a week","Increased slightly","Decreased slightly","2","1","3","3","0","0","0","2","1","3","3","2","2","1","1","3","3","3","1","3","1","3","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 3:04:03 AM GMT+5:30","Delhi","18 - 25 years old","Female","Self Employed","3 or more","More than 20 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Ocassionally","Major Impact","Atleast 3 days a week","Increased slightly","Increased slightly","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 3:12:20 AM GMT+5:30","Chandigarh","18 - 25 years old","Female","Student","2","10 - 20 lakhs","Decreased slightly","Yes","No","No","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased sigificantly","2","2","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","2","1","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 4:27:14 AM GMT+5:30","Chandigarh","45+ years old","Male","Private Sector Employee","2","More than 20 lakhs","No change","No","No","Yes","No major health problem","Atleast 3 days a week","Considerable Impact","Almost all the time/ Every day","Increased significantly","Decreased slightly","2","1","1","1","1","1","1","1","2","2","1","2","1","1","1","1","1","1","1","1","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 6:20:17 AM GMT+5:30","Punjab","18 - 25 years old","Male","Unemployed","2","More than 20 lakhs","No change","Yes","Yes","Yes","No major health problem","Not at all","Major Impact","Ocassionally","Increased significantly","Increased slightly","3","0","0","0","0","0","2","0","1","2","2","1","3","0","2","2","2","0","0","3","0","0","None"
"2021/05/23 6:51:57 AM GMT+5:30","Delhi","45+ years old","Male","Self Employed","3 or more","More than 20 lakhs","Decreased significantly","No","No","Yes","No major health problem","Every day","Small Impact","Atleast 3 days a week","No change","No change","3","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 7:39:15 AM GMT+5:30","Haryana","25 - 45 years old","Female","Private Sector Employee","2","5 - 10 lakhs","Decreased significantly","Yes","Yes","No","Diabetes","Ocassionally","Major Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","1","3","2","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","1","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 7:44:06 AM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Student","1","5 - 10 lakhs","No change","No","No","No","No major health problem","Every day","Considerable Impact","Ocassionally","No change","Decreased slightly","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","3","2","1","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 7:46:30 AM GMT+5:30","Uttar Pradesh","25 - 45 years old","Male","Private Sector Employee","1","More than 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Every day","Small Impact","Atleast 3 days a week","Decreased slightly","Decreased slightly","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 7:53:55 AM GMT+5:30","West Bengal","45+ years old","Male","Unemployed","1","5 - 10 lakhs","No change","No","No","Yes","Heart Disease","Every day","Small Impact","Atleast 3 days a week","No change","No change","4","0","0","0","0","0","0","1","2","1","0","0","0","1","2","1","1","0","0","0","1","0","None"
"2021/05/23 7:55:23 AM GMT+5:30","Haryana","25 - 45 years old","Male","Private Sector Employee","2","10 - 20 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","2","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 8:01:43 AM GMT+5:30","Haryana","25 - 45 years old","Male","Self Employed","1","5 - 10 lakhs","Decreased significantly","No","No","Yes","No major health problem","Atleast 3 days a week","Considerable Impact","Atleast 3 days a week","No change","No change","1","0","0","0","1","0","0","0","1","2","1","1","1","1","0","0","1","1","1","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 8:08:23 AM GMT+5:30","Delhi","45+ years old","Male","Self Employed","3 or more","More than 20 lakhs","Decreased significantly","No","No","Yes","No major health problem","Every day","Small Impact","Atleast 3 days a week","No change","No change","3","0","0","1","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 8:22:37 AM GMT+5:30","Maharashtra","45+ years old","Male","Government Employee","1","10 - 20 lakhs","No change","Yes","No","Yes","No major health problem","Every day","Small Impact","Almost all the time/ Every day","Decreased slightly","Increased slightly","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 8:23:31 AM GMT+5:30","Chandigarh","25 - 45 years old","Male","Private Sector Employee","1","5 - 10 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Increased slightly","Increased slightly","3","2","1","1","2","0","1","1","0","1","1","1","2","1","1","1","2","2","1","1","2","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 8:28:05 AM GMT+5:30","Haryana","45+ years old","Male","Government Employee","2","More than 20 lakhs","Decreased slightly","Yes","Yes","Yes","Blood Pressure","Atleast 3 days a week","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","2","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 8:54:51 AM GMT+5:30","Delhi","18 - 25 years old","Male","Student","1","Less than 5 lakhs","Decreased significantly","Yes","No","Yes","No major health problem","Ocassionally","Major Impact","Atleast 3 days a week","Decreased slightly","Increased sigificantly","2","3","0","2","0","0","1","0","2","1","1","0","1","1","1","1","1","1","1","1","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 8:57:01 AM GMT+5:30","Maharashtra","25 - 45 years old","Male","Private Sector Employee","1","10 - 20 lakhs","No change","Yes","Yes","No","No major health problem","Every day","Small Impact","Almost all the time/ Every day","No change","No change","3","0","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 8:57:57 AM GMT+5:30","Maharashtra","45+ years old","Male","Private Sector Employee","2","More than 20 lakhs","No change","Yes","No","Yes","Blood Pressure","Ocassionally","Small Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 9:06:05 AM GMT+5:30","Uttar Pradesh","45+ years old","Male","Self Employed","2","5 - 10 lakhs","No change","No","No","Yes","Blood Pressure","Every day","Small Impact","Almost all the time/ Every day","No change","Decreased slightly","5","1","0","0","0","0","0","0","1","1","1","1","2","1","1","1","1","1","1","2","1","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 9:22:33 AM GMT+5:30","Haryana","45+ years old","Male","Private Sector Employee","2","More than 20 lakhs","No change","No","No","Yes","No major health problem","Atleast 3 days a week","Small Impact","Atleast 3 days a week","Increased slightly","No change","3","1","0","2","1","0","1","2","0","1","0","0","0","0","0","0","1","0","1","1","0","1","None"
"2021/05/23 9:42:32 AM GMT+5:30","Haryana","45+ years old","Female","Government Employee","3 or more","5 - 10 lakhs","No change","No","Yes","No","Cancer","Ocassionally","Small Impact","Atleast 3 days a week","Decreased slightly","Decreased significantly","3","0","0","2","1","1","0","2","2","2","2","2","3","2","1","0","0","0","3","0","0","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 9:43:36 AM GMT+5:30","Assam","25 - 45 years old","Female","Unemployed","1","5 - 10 lakhs","No change","No","No","No","No major health problem","Ocassionally","Considerable Impact","Almost all the time/ Every day","No change","Decreased slightly","3","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","1","1","1","1","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 10:01:43 AM GMT+5:30","Uttarakhand","18 - 25 years old","Female","Student","3 or more","5 - 10 lakhs","Decreased significantly","No","Yes","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Decreased slightly","Decreased slightly","3","1","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","None"
"2021/05/23 10:25:02 AM GMT+5:30","Delhi","45+ years old","Male","Unemployed","1","5 - 10 lakhs","No change","No","Yes","Yes","Diabetes","Not at all","Considerable Impact","Ocassionally","No change","Decreased significantly","3","1","0","0","2","2","0","1","0","3","3","3","3","2","2","2","2","0","2","2","2","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 10:49:48 AM GMT+5:30","Haryana","18 - 25 years old","Male","Student","2","More than 20 lakhs","Increased slighltly","No","Yes","No","No major health problem","Every day","Major Impact","Ocassionally","Decreased slightly","No change","2","2","3","3","0","0","3","3","3","1","3","3","2","3","0","1","0","3","0","0","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 11:41:03 AM GMT+5:30","Delhi","18 - 25 years old","Female","Student","1","Less than 5 lakhs","Decreased slightly","No","No","Yes","No major health problem","Every day","Major Impact","Ocassionally","Decreased significantly","Increased slightly","4","3","3","2","1","0","3","2","2","3","2","3","3","3","1","0","2","2","2","3","3","3","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 11:49:30 AM GMT+5:30","Delhi","18 - 25 years old","Female","Self Employed","3 or more","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Ocassionally","Major Impact","Ocassionally","Increased slightly","No change","2","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","1","0","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 11:53:22 AM GMT+5:30","West Bengal","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Every day","Small Impact","Almost all the time/ Every day","No change","No change","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 12:08:23 PM GMT+5:30","Haryana","< 16 years old","Male","Student","2","Less than 5 lakhs","Decreased significantly","No","No","No","No major health problem","Every day","Major Impact","Almost all the time/ Every day","Increased slightly","Increased slightly","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 1:51:16 PM GMT+5:30","Delhi","25 - 45 years old","Female","Private Sector Employee","1","10 - 20 lakhs","No change","Yes","No","No","Diabetes","Ocassionally","Major Impact","Ocassionally","Decreased slightly","Decreased significantly","2","3","1","2","1","2","3","3","3","3","3","3","3","3","3","3","3","2","3","3","3","3","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 2:23:23 PM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","Increased significantly","Yes","Yes","Yes","No major health problem","Ocassionally","Small Impact","Atleast 3 days a week","Increased slightly","Increased slightly","3","0","0","0","2","1","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 2:38:21 PM GMT+5:30","Odisha","25 - 45 years old","Female","Homemaker","1","10 - 20 lakhs","No change","No","No","No","No major health problem","Ocassionally","Small Impact","Ocassionally","No change","No change","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","None"
"2021/05/23 3:44:42 PM GMT+5:30","Delhi","25 - 45 years old","Female","Government Employee","3 or more","More than 20 lakhs","No change","No","Yes","No","Blood Pressure","Ocassionally","Small Impact","No contact at all","No change","No change","3","2","2","2","2","2","3","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","None"
"2021/05/23 4:15:06 PM GMT+5:30","Delhi","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","Decreased significantly","Yes","No","Yes","No major health problem","Every day","Major Impact","Atleast 3 days a week","Decreased significantly","Decreased slightly","1","0","1","2","0","1","0","1","0","0","1","0","0","0","0","0","2","0","1","0","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 5:21:41 PM GMT+5:30","Delhi","18 - 25 years old","Female","Student","1","10 - 20 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Ocassionally","Major Impact","Almost all the time/ Every day","Decreased significantly","Decreased slightly","3","2","0","1","0","1","1","0","2","2","1","2","2","1","1","2","3","2","1","3","1","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 6:01:41 PM GMT+5:30","Delhi","45+ years old","Female","Government Employee","3 or more","10 - 20 lakhs","Decreased slightly","Yes","No","Yes","Skin problems","Ocassionally","Small Impact","Ocassionally","Increased slightly","Decreased slightly","3","1","2","1","2","0","3","0","2","1","3","2","3","0","1","1","2","1","2","2","3","3","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 7:15:44 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Female","Student","1","More than 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Almost all the time/ Every day","No change","No change","2","1","0","1","0","1","2","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 8:46:33 PM GMT+5:30","Haryana","45+ years old","Male","Self Employed","1","More than 20 lakhs","No change","No","Yes","Yes","No major health problem","Every day","Considerable Impact","Ocassionally","Decreased slightly","No change","3","1","1","0","0","0","0","0","1","1","1","1","2","0","2","2","1","1","0","2","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 8:52:57 PM GMT+5:30","Tamil Nadu","18 - 25 years old","Male","Student","1","Less than 5 lakhs","Decreased significantly","No","No","Yes","No major health problem","Not at all","Considerable Impact","Almost all the time/ Every day","Decreased significantly","No change","4","0","0","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 8:54:37 PM GMT+5:30","Delhi","18 - 25 years old","Female","Student","1","5 - 10 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Every day","Major Impact","Ocassionally","Decreased slightly","Increased slightly","4","0","0","2","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 8:56:57 PM GMT+5:30","Tamil Nadu","18 - 25 years old","Male","Student","2","Less than 5 lakhs","Decreased significantly","No","No","No","No major health problem","Atleast 3 days a week","Major Impact","Almost all the time/ Every day","Decreased slightly","Decreased significantly","3","2","1","1","0","0","0","1","1","2","2","2","2","0","2","2","3","2","1","3","3","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 9:02:15 PM GMT+5:30","Tamil Nadu","25 - 45 years old","Female","Private Sector Employee","2","Less than 5 lakhs","Decreased slightly","Yes","No","No","Diabetes","Not at all","Considerable Impact","Ocassionally","Decreased slightly","Decreased slightly","4","1","1","0","0","1","1","0","1","0","1","0","1","0","1","0","1","0","1","0","1","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 9:03:18 PM GMT+5:30","Tamil Nadu","25 - 45 years old","Female","Private Sector Employee","3 or more","5 - 10 lakhs","No change","Yes","No","Yes","No major health problem","Atleast 3 days a week","No Impact","Atleast 3 days a week","No change","Increased slightly","2","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 9:07:03 PM GMT+5:30","Tamil Nadu","25 - 45 years old","Female","Student","2","Less than 5 lakhs","No change","Yes","No","Yes","No major health problem","Every day","Considerable Impact","Almost all the time/ Every day","No change","No change","4","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 9:18:38 PM GMT+5:30","Tamil Nadu","25 - 45 years old","Male","Student","1","Less than 5 lakhs","Decreased significantly","No","No","No","No major health problem","Atleast 3 days a week","Small Impact","Atleast 3 days a week","Increased slightly","Increased slightly","4","0","1","0","1","0","0","0","2","0","0","0","0","1","1","1","1","0","0","0","0","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 9:22:38 PM GMT+5:30","Tamil Nadu","18 - 25 years old","Male","Student","1","Less than 5 lakhs","Decreased slightly","Yes","No","No","No major health problem","Every day","Major Impact","Ocassionally","Increased slightly","Increased slightly","4","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","1","0","0","0","0","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 10:10:16 PM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Self Employed","2","10 - 20 lakhs","Decreased slightly","No","Yes","Yes","No major health problem","Ocassionally","Small Impact","Ocassionally","No change","Increased slightly","4","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","1","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/23 11:06:16 PM GMT+5:30","Delhi","45+ years old","Male","Self Employed","3 or more","10 - 20 lakhs","Decreased slightly","Yes","Yes","Yes","No major health problem","Every day","Considerable Impact","Almost all the time/ Every day","Decreased slightly","Decreased slightly","2","2","2","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/23 11:35:16 PM GMT+5:30","Delhi","18 - 25 years old","Female","Private Sector Employee","3 or more","10 - 20 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Atleast 3 days a week","Major Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","2","2","2","1","1","1","3","1","2","3","3","3","3","1","2","2","2","2","2","2","2","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/23 11:48:32 PM GMT+5:30","Punjab","18 - 25 years old","Male","Private Sector Employee","3 or more","More than 20 lakhs","No change","No","No","No","No major health problem","Ocassionally","Considerable Impact","Ocassionally","No change","Decreased slightly","3","1","0","0","0","0","2","2","1","0","0","0","0","0","0","0","1","0","1","1","0","0","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/24 12:34:05 AM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","1","Less than 5 lakhs","Decreased significantly","No","Yes","Yes","No major health problem","Ocassionally","Considerable Impact","Ocassionally","Increased significantly","Increased sigificantly","4","2","2","2","2","2","1","2","1","2","2","2","2","1","2","2","2","2","1","2","2","1","None"
"2021/05/24 12:39:39 AM GMT+5:30","Haryana","18 - 25 years old","Female","Private Sector Employee","3 or more","5 - 10 lakhs","Decreased slightly","No","No","No","No major health problem","Ocassionally","Major Impact","Ocassionally","Decreased slightly","Increased sigificantly","3","2","0","1","0","0","1","1","1","2","2","2","1","2","1","1","2","2","2","3","2","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/24 12:53:08 AM GMT+5:30","Delhi","18 - 25 years old","Female","Student","2","10 - 20 lakhs","No change","Yes","Yes","Yes","No major health problem","Ocassionally","Major Impact","Almost all the time/ Every day","Increased slightly","Decreased significantly","3","1","0","2","1","0","2","1","1","2","0","3","3","1","2","2","2","2","2","2","2","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/24 1:22:48 AM GMT+5:30","Delhi","18 - 25 years old","Male","Private Sector Employee","2","Less than 5 lakhs","Decreased significantly","Yes","Yes","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Decreased slightly","Increased sigificantly","2","0","0","0","0","0","0","0","2","3","3","3","3","3","3","2","2","2","1","2","1","2","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/24 1:51:55 AM GMT+5:30","Uttar Pradesh","18 - 25 years old","Male","Student","1","More than 20 lakhs","No change","Yes","Yes","Yes","No major health problem","Ocassionally","Small Impact","Atleast 3 days a week","Decreased slightly","Increased slightly","3","2","0","0","0","0","1","0","0","0","0","1","1","2","0","0","1","1","1","0","0","1","Stress (feeling of being overwhelmed, unable to cope with mental or emotional pressure etc.)"
"2021/05/24 5:00:42 AM GMT+5:30","Delhi","45+ years old","Male","Private Sector Employee","1","More than 20 lakhs","No change","Yes","Yes","Yes","No major health problem","Atleast 3 days a week","Considerable Impact","Atleast 3 days a week","Decreased slightly","Decreased slightly","4","2","3","3","1","0","2","2","0","2","1","2","1","0","0","2","1","3","2","1","0","2","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/24 6:21:54 AM GMT+5:30","Karnataka","18 - 25 years old","Male","Self Employed","2","Less than 5 lakhs","Decreased slightly","No","No","No","No major health problem","Atleast 3 days a week","Small Impact","Almost all the time/ Every day","Decreased slightly","Decreased significantly","1","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","None"
"2021/05/24 7:37:35 AM GMT+5:30","Punjab","18 - 25 years old","Female","Student","1","Less than 5 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","No change","Increased slightly","2","1","0","1","0","0","0","0","0","1","1","0","1","0","1","1","0","0","0","0","0","0","None"
"2021/05/24 9:18:54 AM GMT+5:30","Delhi","18 - 25 years old","Female","Student","1","10 - 20 lakhs","Decreased slightly","Yes","Yes","No","No major health problem","Ocassionally","Major Impact","Almost all the time/ Every day","Decreased significantly","Decreased slightly","3","2","0","1","0","1","1","0","2","2","1","2","2","1","1","2","3","2","1","3","1","2","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/24 9:21:42 AM GMT+5:30","Delhi","45+ years old","Female","Private Sector Employee","2","5 - 10 lakhs","Decreased slightly","Yes","No","Yes","Sugar & BP","Atleast 3 days a week","Small Impact","Atleast 3 days a week","No change","No change","2","2","2","0","0","0","1","0","1","2","2","0","1","2","2","0","1","1","1","1","2","1","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/24 9:28:15 AM GMT+5:30","Punjab","18 - 25 years old","Female","Student","1","5 - 10 lakhs","Decreased significantly","No","Yes","No","No major health problem","Ocassionally","Considerable Impact","Atleast 3 days a week","Increased slightly","Increased slightly","1","1","0","1","0","0","0","0","2","2","2","0","2","2","0","2","2","2","1","3","2","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/24 9:52:55 AM GMT+5:30","Punjab","18 - 25 years old","Male","Private Sector Employee","3 or more","10 - 20 lakhs","Decreased slightly","Yes","No","Yes","No major health problem","Every day","Considerable Impact","Atleast 3 days a week","Increased slightly","Increased slightly","3","1","0","0","0","0","1","0","1","1","1","1","1","1","1","1","0","1","0","1","0","0","Anxiety (feeling of worry, nervousness etc.)"
"2021/05/24 10:22:25 AM GMT+5:30","Delhi","25 - 45 years old","Male","Government Employee","2","10 - 20 lakhs","Increased slighltly","Yes","Yes","Yes","No major health problem","Every day","Small Impact","Atleast 3 days a week","Increased slightly","Increased slightly","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","Depression (feeling of sadness, loss of interest etc.)"
"2021/05/24 11:48:07 AM GMT+5:30","Himachal Pradesh","18 - 25 years old","Female","Student","2","10 - 20 lakhs","Decreased slightly","No","Yes","No","No major health problem","Atleast 3 days a week","Considerable Impact","Ocassionally","Decreased slightly","Increased slightly","1","1","0","0","1","0","1","0","0","1","0","0","1","0","0","1","0","1","0","1","1","1","Anxiety (feeling of worry, nervousness etc.)"
